timestamp,sweep,model,harness,prompt,max_tokens,kv_mode,sink_tokens,simd_matmul,fused_kv_min,block_len,accept_mode,temp,ddtree,prefill_s,decode_tps,total_tokens,accept_rate,extra
2026-05-24T21:16:09Z,full,Qwen3.6-35B-A3B-4bit,generate,long,64,TURBO_KV,0,unset,512,-,greedy,0.0,off,6.62,64.9,64,kv_backend=turboquant,
2026-05-24T21:16:26Z,full,Qwen3.6-35B-A3B-4bit,generate,long,64,TURBO_KV,0,1,8192,-,greedy,0.0,off,6.57,64.6,64,kv_backend=turboquant,
2026-05-24T21:16:42Z,full,Qwen3.6-35B-A3B-4bit,generate,long,64,TURBO_KV,0,1,512,-,greedy,0.0,off,6.55,64.4,64,kv_backend=turboquant,
2026-05-24T21:16:59Z,full,Qwen3.6-35B-A3B-4bit,generate,long,64,TURBO_KV,4,unset,8192,-,greedy,0.0,off,6.52,64.2,64,kv_backend=turboquant,
2026-05-24T21:17:15Z,full,Qwen3.6-35B-A3B-4bit,generate,long,64,TURBO_KV,4,unset,512,-,greedy,0.0,off,6.55,64.3,64,kv_backend=turboquant,
2026-05-24T21:17:32Z,full,Qwen3.6-35B-A3B-4bit,generate,long,64,TURBO_KV,4,1,8192,-,greedy,0.0,off,6.53,64.1,64,kv_backend=turboquant,
2026-05-24T21:17:48Z,full,Qwen3.6-35B-A3B-4bit,generate,long,64,TURBO_KV,4,1,512,-,greedy,0.0,off,6.54,64.5,64,kv_backend=turboquant,
2026-05-24T21:18:10Z,full,Qwen3.6-35B-A3B-4bit,generate,long,256,unset,-,-,-,-,greedy,0.0,off,6.51,68.8,256,kv_backend=standard,
2026-05-24T21:18:32Z,full,Qwen3.6-35B-A3B-4bit,generate,long,256,QUANTIZE_KV,-,-,-,-,greedy,0.0,off,6.51,66.4,256,kv_backend=quantized,
2026-05-24T21:19:00Z,full,Qwen3.6-35B-A3B-4bit,generate,long,256,TURBO_KV,0,unset,8192,-,greedy,0.0,off,6.54,64.3,256,kv_backend=turboquant,
2026-05-24T21:19:22Z,full,Qwen3.6-35B-A3B-4bit,generate,long,256,TURBO_KV,0,unset,512,-,greedy,0.0,off,6.53,64.8,256,kv_backend=turboquant,
2026-05-24T21:19:45Z,full,Qwen3.6-35B-A3B-4bit,generate,long,256,TURBO_KV,0,1,8192,-,greedy,0.0,off,6.54,64.5,256,kv_backend=turboquant,
2026-05-24T21:20:07Z,full,Qwen3.6-35B-A3B-4bit,generate,long,256,TURBO_KV,0,1,512,-,greedy,0.0,off,6.51,64.1,256,kv_backend=turboquant,
2026-05-24T21:20:30Z,full,Qwen3.6-35B-A3B-4bit,generate,long,256,TURBO_KV,4,unset,8192,-,greedy,0.0,off,6.52,64.0,256,kv_backend=turboquant,
2026-05-24T21:20:52Z,full,Qwen3.6-35B-A3B-4bit,generate,long,256,TURBO_KV,4,unset,512,-,greedy,0.0,off,6.70,64.1,256,kv_backend=turboquant,
2026-05-24T21:21:15Z,full,Qwen3.6-35B-A3B-4bit,generate,long,256,TURBO_KV,4,1,8192,-,greedy,0.0,off,6.56,64.0,256,kv_backend=turboquant,
2026-05-24T21:21:36Z,full,Qwen3.6-35B-A3B-4bit,generate,long,256,TURBO_KV,4,1,512,-,greedy,0.0,off,6.55,63.9,202,kv_backend=turboquant,
2026-05-24T21:21:47Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,64,session-default,-,-,-,1,speculative,0.7,off,0.815,20.32,64,0.864,
2026-05-24T21:21:59Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,64,session-default,-,-,-,4,speculative,0.7,off,0.820,17.29,64,0.633,
2026-05-24T21:22:12Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,64,session-default,-,-,-,8,greedy,0.0,off,0.833,11.96,64,0.417,
2026-05-24T21:22:29Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,64,session-default,-,-,-,8,speculative,0.7,off,0.843,10.22,64,0.330,
2026-05-24T21:23:00Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,256,session-default,-,-,-,1,greedy,0.0,off,0.824,17.56,256,0.753,
2026-05-24T21:23:32Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,256,session-default,-,-,-,1,speculative,0.7,off,0.821,17.59,256,0.844,
2026-05-24T21:24:08Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,256,session-default,-,-,-,4,greedy,0.0,off,0.824,15.32,256,0.599,
2026-05-24T21:24:43Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,256,session-default,-,-,-,4,speculative,0.7,off,0.817,13.40,153,0.500,
2026-05-24T21:25:45Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,256,session-default,-,-,-,8,greedy,0.0,off,0.828,8.52,256,0.309,
2026-05-24T21:26:52Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,256,session-default,-,-,-,8,speculative,0.7,off,0.831,7.85,256,0.266,
2026-05-24T21:27:52Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,64,session-default,-,-,-,1,greedy,0.0,off,23.886,11.67,64,0.000,
2026-05-24T21:28:51Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,64,session-default,-,-,-,1,speculative,0.7,off,23.171,12.05,64,0.000,
2026-05-24T21:29:57Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,64,session-default,-,-,-,4,greedy,0.0,off,22.722,6.94,64,0.000,
2026-05-24T21:31:02Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,64,session-default,-,-,-,4,speculative,0.7,off,22.467,6.98,64,0.000,
2026-05-24T21:32:20Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,64,session-default,-,-,-,8,greedy,0.0,off,22.457,4.01,64,0.000,
2026-05-24T21:33:38Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,64,session-default,-,-,-,8,speculative,0.7,off,22.520,4.00,64,0.000,
2026-05-24T21:35:09Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,256,session-default,-,-,-,1,greedy,0.0,off,22.807,11.40,256,0.000,
2026-05-24T21:36:44Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,256,session-default,-,-,-,1,speculative,0.7,off,23.561,10.85,256,0.000,
2026-05-24T21:38:56Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,256,session-default,-,-,-,4,greedy,0.0,off,24.625,6.13,256,0.000,
2026-05-24T21:41:14Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,256,session-default,-,-,-,4,speculative,0.7,off,25.355,5.99,256,0.000,
